Origin,Dest,AVG_Time,AVG_Distance,Count,O_lat,O_long,D_lat,D_long
ABI,DFW,34.3448275862069,158.0,290,32.411,-99.682,32.896,-97.037
ABQ,ATL,146.876404494382,1269.0,89,35.04,-106.609,33.64,-84.427
ABQ,AUS,80.027027027027,619.0,37,35.04,-106.609,30.194,-97.67
ABQ,BWI,191.017543859649,1670.0,57,35.04,-106.609,39.175,-76.668
ABQ,DAL,79.7233201581028,580.0,253,35.04,-106.609,32.847,-96.852
ABQ,DEN,56.473441108545,349.0,433,35.04,-106.609,39.858,-104.667
ABQ,DFW,77.4518518518519,569.0,405,35.04,-106.609,32.896,-97.037
ABQ,HOU,99.2222222222222,759.0,153,35.04,-106.609,29.645,-95.279
ABQ,IAH,101.432926829268,744.0,164,35.04,-106.609,29.98,-95.34
ABQ,JFK,209.631578947368,1826.0,38,35.04,-106.609,40.64,-73.779
ABQ,LAS,74.1004566210046,486.0,219,35.04,-106.609,36.08,-115.152
ABQ,LAX,100.907514450867,677.0,173,35.04,-106.609,33.942,-118.408
ABQ,MCI,89.4464285714286,718.0,56,35.04,-106.609,39.297,-94.714
ABQ,MDW,130.492063492063,1121.0,63,35.04,-106.609,41.786,-87.752
ABQ,MSP,138.0,981.0,2,35.04,-106.609,44.88,-93.217
ABQ,OAK,128.830188679245,889.0,106,35.04,-106.609,37.721,-122.221
ABQ,ORD,137.950819672131,1118.0,122,35.04,-106.609,41.979,-87.904
ABQ,PHX,59.370883882149,328.0,577,35.04,-106.609,33.434,-112.008
ABQ,SAN,93.3238095238095,628.0,105,35.04,-106.609,32.733,-117.189
ABQ,SEA,173.333333333333,1180.0,3,35.04,-106.609,47.449,-122.309
ABQ,SFO,138.590476190476,896.0,105,35.04,-106.609,37.619,-122.375
ABQ,SLC,77.9833333333333,493.0,60,35.04,-106.609,40.788,-111.978
ACT,DFW,27.1758793969849,89.0,199,31.611,-97.23,32.896,-97.037
ACY,FLL,140.658682634731,977.0,167,39.458,-74.577,26.072,-80.153
ACY,MCO,124.675675675676,852.0,111,39.458,-74.577,28.429,-81.316
ACY,MYR,72.1111111111111,466.0,54,39.458,-74.577,33.68,-78.928
ACY,PBI,137.527272727273,936.0,55,39.458,-74.577,26.683,-80.096
ACY,RSW,145.594594594595,982.0,111,39.458,-74.577,26.536,-81.755
ACY,TPA,135.267857142857,913.0,56,39.458,-74.577,27.975,-82.533
ADK,ANC,147.357142857143,1192.0,14,51.878,-176.646,61.174,-149.996
ADQ,ANC,41.1704545454545,253.0,88,57.75,-152.494,61.174,-149.996
AEX,ATL,71.5222222222222,500.0,180,31.327,-92.548,33.64,-84.427
AEX,DFW,54.6092715231788,285.0,151,31.327,-92.548,32.896,-97.037
AEX,IAH,42.1292517006803,190.0,147,31.327,-92.548,29.98,-95.34
AGS,ATL,35.0735294117647,143.0,408,33.37,-81.964,33.64,-84.427
AGS,CLT,31.9857142857143,140.0,140,33.37,-81.964,35.214,-80.943
ALB,ATL,136.119205298013,853.0,151,42.748,-73.803,33.64,-84.427
ALB,BWI,58.5187969924812,289.0,266,42.748,-73.803,39.175,-76.668
ALB,CLT,109.739726027397,646.0,146,42.748,-73.803,35.214,-80.943
ALB,DCA,69.0,318.0,219,42.748,-73.803,38.852,-77.037
ALB,DEN,238.636363636364,1610.0,55,42.748,-73.803,39.858,-104.667
ALB,DTW,85.9470198675497,489.0,151,42.748,-73.803,42.212,-83.353
ALB,EWR,37.1081081081081,143.0,37,42.748,-73.803,40.692,-74.169
ALB,FLL,173.527777777778,1204.0,108,42.748,-73.803,26.072,-80.153
ALB,MCO,160.265193370166,1073.0,181,42.748,-73.803,28.429,-81.316
ALB,MDW,116.166666666667,717.0,108,42.748,-73.803,41.786,-87.752
ALB,MSP,136.0,980.0,2,42.748,-73.803,44.88,-93.217
